id;title;code;symbol_left;symbol_right;decimal_place;value;is_active;created_by;modified_by;created_date;modified_date
1;invoice Cambridgeshire;Secured olive;Shirt next-generation;Legacy efficient Exclusive;78052;30206;27480;73195;82261;bandwidth Trinidad and Tobago Dollar Licensed;Table interfaces
2;Bike;SCSI Field Bermuda;Home;Phased sky blue;63796;23194;25688;39090;63201;Sleek Wooden Chips bi-directional;Russian Ruble deploy
3;Roads feed;Director;bypassing;array Virginia;27416;77262;7941;26489;8565;Investor maroon;one-to-one
4;extensible Practical Granite Bacon;Turkish Lira;Profit-focused;system-worthy Credit Card Account;68013;53295;23082;32433;45685;olive;Coordinator
5;efficient Producer;Hill Awesome Rubber Computer;Directives payment override;Indonesia;9667;42268;45037;82180;75616;B2C;Consultant Via
6;Cross-group redefine;Industrial;Accounts Dominican Republic quantifying;Generic Cloned;78790;75527;86468;12771;60848;Buckinghamshire Fish Small Wooden Gloves;encompassing
7;evolve plug-and-play;Lithuania;navigating;Village;60059;87333;51567;16176;91939;Borders Planner navigating;Cambridgeshire
8;Granite quantifying;CFA Franc BEAC Syrian Arab Republic;back-end digital secured line;Graphic Interface;2289;17352;15379;69495;22361;Metrics North Carolina;generating Granite FTP
9;Investment Account Rubber Legacy;Gloves Cambridgeshire revolutionize;withdrawal;Sleek Steel Hat;13516;23255;96311;7996;54952;Liaison e-markets task-force;ADP attitude-oriented
10;deposit red Home Loan Account;intuitive streamline;digital Ferry;Cambridgeshire;75425;5778;61949;69503;29735;communities Keyboard Rustic;data-warehouse Intelligent Saudi Riyal
