id;short_name;subject;message;is_active;created_by;modified_by;created_date;modified_date
1;Knolls networks Auto Loan Account;South Dakota Applications;Executive;5947;85396;316;invoice success;Incredible Fresh Ball
2;Beauty Orchestrator;Mobility;connect;92925;68772;3054;SMS Bulgaria withdrawal;transparent cross-platform
3;program;Data Industrial;olive Assistant Incredible;231;1431;4416;next-generation payment Rustic Steel Cheese;transmit invoice program
4;Rial Omani Ergonomic target;Gorgeous infomediaries utilize;forecast;54913;11099;63208;West Virginia Taka Industrial;Taiwan
5;Taka;Cambridgeshire;Reactive Cape Steel;71011;40287;66685;white;foreground virtual Marketing
6;transitional Garden;Streets Optimized;silver Kids;21462;35781;41612;hack cyan;Cambridgeshire Locks Tennessee
7;Bangladesh payment;Multi-lateral program;projection intermediate Nebraska;11995;14287;91679;port target Ball;Fresh Credit Card Account Gorgeous Soft Shirt
8;Small;Buckinghamshire;port;59348;70697;89572;Tennessee;Garden User-centric
9;Incredible Security copying;local;FTP South Carolina Human;94298;43381;42238;seize Usability Burundi Franc;Australian Dollar
10;Maryland Web;feed Games Ball;SMTP Chips radical;12960;95077;67610;Paradigm attitude-oriented Spur;invoice Ergonomic Plastic Shoes
