id;name;code;image;image_path;locale;sort_order;is_active;created_by;modified_by;created_date;modified_date
1;dot-com;Codes specifically reserved for testing purposes Generic upward-trending;connect Malta Table;Awesome Wooden Pizza Manors;Senior;hacking Strategist haptic;85378;39185;24197;Research orchid;Cambridgeshire repurpose Metrics
2;Hawaii high-level;Investor Car;Checking Account;Electronics synthesizing circuit;Quality Markets;Metrics Producer;39279;16167;85422;synthesize customer loyalty;withdrawal
3;back-end Infrastructure;program Borders Sports;cross-platform;Infrastructure Self-enabling;Intelligent Soft Gloves Pizza;transmitter Gorgeous;42870;24580;2916;Turnpike deposit;Product
4;recontextualize;Metrics Avon Buckinghamshire;expedite evolve;Automotive Tasty Cotton Towels executive;mobile Innovative;Louisiana systems;84727;24039;90223;JSON;Small Cambridgeshire ivory
5;Assimilated;Keyboard SMTP context-sensitive;interfaces system New Jersey;Bedfordshire program;Plastic;Human Configuration;89255;40094;41944;neural Tunnel Borders;plum
6;orange;Auto Loan Account;orchid;robust;Accountability;Lake Licensed;82674;83582;4764;feed;navigate invoice Hat
7;Mountains Gorgeous Plastic Table Program;Rubber generate;Massachusetts;Guinea;matrix;Diverse;30419;1009;30394;Team-oriented Movies;lavender contingency alarm
8;index synthesizing;Money Market Account National;port compressing Keyboard;customized Assistant;Manager input;Montenegro Tuna;38068;7845;41446;synthesize Games;haptic
9;web-enabled Checking Account;executive Personal Loan Account;payment;quantify;haptic;Bedfordshire holistic Division;82750;15902;69720;bandwidth;solid state Metal
10;bus;global Jewelery Intelligent Wooden Pants;open-source;Pizza Metal input;Michigan Infrastructure Bedfordshire;Avon Buckinghamshire;38723;73444;90657;Books optical;Jewelery
