id;sku;upc;quantity;image;image_path;shipping;price;date_available;sort_order;name;description;amount;meta_tag_title;meta_tag_description;meta_tag_keyword;discount;subtract_stock;minimum_quantity;location;wishlist_status;delet_flag;is_featured;rating;jhi_condition;is_active;created_by;modified_by;created_date;modified_date
1;Virginia Triple-buffered multi-byte;Greece Colorado;97833;parse;product;16885;17053;Groves green;68958;EXE;Belgium;35655;Ramp;function demand-driven Bike;Gardens input;20598;false;70929;Computers supply-chains;77586;synergistic;56373;94530;20497;91707;74199;58342;Summit;magenta CSS transparent
2;e-services azure bandwidth-monitored;Hat;49303;Rustic;Frozen;58327;97648;monetize Lead Brunei Darussalam;26974;Libyan Dinar withdrawal Supervisor;feed;52806;yellow;Tools;synthesizing PNG Home Loan Account;72753;false;11515;Iowa;66696;ivory EXE;19499;7748;31347;1802;62055;10233;infomediaries Research;synthesizing Democratic People's Republic of Korea
3;holistic Handmade;Soft override Sleek;2747;benchmark Representative;North Dakota;54021;17339;protocol;50535;Kwanza;input;72333;Metal indexing Sausages;Computers;e-enable Business-focused Berkshire;40740;false;98656;Handcrafted Wooden Gloves Practical Rubber Ball;5450;hacking Cambridgeshire;52700;1001;56159;88240;17081;57167;firmware;Home Loan Account tan Wooden
4;utilize Self-enabling Jewelery;archive Concrete;14562;Brunei Dollar;indigo Representative;218;69192;Keyboard Up-sized;84219;lavender;Credit Card Account;126;Chief Nigeria;Licensed;Functionality Berkshire Graphic Interface;78894;false;68178;RAM Yen;24352;Accounts Licensed;26794;15341;52019;36655;56574;37335;Cheese;cross-media reinvent cross-platform
5;Small Savings Account;Metrics;7040;24/365 Borders Cambridgeshire;Libyan Arab Jamahiriya;17449;38377;Facilitator Tuna;35415;metrics e-enable;Dynamic Intelligent;54412;firewall index Savings Account;indigo;bandwidth;8613;true;46380;Ball frictionless Music;40032;Argentina Personal Loan Account;66349;67311;83629;99074;21546;88282;Summit;Mouse Architect
6;Global Tasty Fresh Computer B2C;invoice open-source Branding;6562;Spain Wisconsin;compress Money Market Account;60679;84368;sky blue synthesizing Montana;76218;interface;interfaces;14161;Practical Venezuela Practical;Soft;Representative card;99262;true;69833;even-keeled Bahraini Dinar Saint Helena Pound;37172;Jewelery;70319;44265;2170;48526;63118;77790;mesh;Berkshire Tools
7;Morocco optical;EXE Buckinghamshire;72842;definition;Implementation hard drive;57718;31456;Small Balboa US Dollar;70775;real-time Fantastic;Practical olive;95074;infomediaries;HTTP Assimilated;interface Estonia Berkshire;24312;false;74475;Shirt;18993;Turnpike multi-tasking Configurable;64523;67201;65097;63542;82451;80576;bypassing AGP;Developer Money Market Account
8;Supervisor Hat Books;Rhode Island;92077;Architect Uzbekistan;Chief neural-net;20905;6489;Underpass Optimized Plaza;45546;South Dakota;deposit Borders;6010;Dynamic Money Market Account lavender;Dynamic sky blue;monitor;58145;true;94776;Unbranded Wooden Soap Hat Netherlands Antillian Guilder;64559;Central;73287;62850;50835;55725;99183;74263;stable;markets withdrawal
9;calculate Belize Dollar Architect;Missouri;84904;content;ADP Mauritius Rupee SAS;20351;58306;Brand invoice Gibraltar;2359;convergence;Mobility;4778;sticky;maroon Concrete hardware;drive Legacy transmit;50511;false;98837;Crest Incredible Concrete Soap partnerships;15690;Markets transmit human-resource;59080;18087;72144;73476;94127;25214;Borders Licensed Home Loan Account;Heard Island and McDonald Islands Frozen
10;EXE;non-volatile Computers alarm;3248;Savings Account;Strategist Investment Account;43098;6360;Mozambique;84109;Executive;Garden Cambridgeshire;60060;Generic Metal Shirt;Handcrafted Plastic Chips;Rwanda Franc;88319;true;94819;Buckinghamshire;70232;EXE;35660;7055;26139;93403;94659;76635;deposit indexing invoice;Portugal invoice generate
