id;name;iso_code_2;iso_code_3;address_format;post_code_required;is_active;created_by;modified_by;created_date;modified_date
1;toolset incentivize;deposit matrices quantify;redefine;Ford;23605;88370;7349;44202;interface;open-source hacking
2;Forge New Mexico;port Pants Shirt;Credit Card Account;payment Spur;84417;70538;80567;44636;SCSI Hawaii;Steel zero defect
3;Granite;Program;deposit;Estate;93387;8855;31615;10330;Arizona Congolese Franc;Architect Developer
4;Automotive;invoice;Minnesota Open-architected Lebanon;Tugrik Wooden;2997;13271;30792;14354;Implementation feed Chips;Handmade
5;Table Synergistic Officer;Qatari Rial;Representative whiteboard Health;Auto Loan Account;86890;86460;57060;76851;Frozen;East Caribbean Dollar Nepalese Rupee lavender
6;navigating Guarani;Incredible deposit;Checking Account utilisation AI;USB primary Iowa;73844;10910;87851;65051;copy Dynamic;solid state program
7;help-desk SAS embrace;Nigeria;firmware;seamless mesh;69546;38041;38855;54849;Savings Account Haiti;Advanced Awesome Rubber Mouse
8;payment connect Berkshire;XSS Suriname;Lead cross-platform;enable;39882;52662;58017;24606;Place unleash;1080p monitor
9;Andorra overriding synergies;deposit Principal Profound;streamline azure Inlet;Rustic;48587;61735;25677;52308;Quetzal;haptic Moldova archive
10;monitor morph;networks Granite Computer;CSS haptic Fish;Licensed;56731;18522;25656;91775;supply-chains Licensed connecting;Sleek Rubber Computer Solutions
