id;name;description;is_active;created_by;modified_by;created_date;modified_date
1;Cape Verde Ridge;back-end methodology;85717;36310;90614;client-driven Analyst Rubber;Electronics
2;Legacy invoice;help-desk;79859;61529;96775;SCSI;1080p
3;toolset Administrator;Liaison Saint Helena Pound;63467;32301;16595;JBOD systems Keyboard;Kwacha
4;Antarctica (the territory South of 60 deg S);programming blue innovate;97345;18741;33684;secured line Global Handmade;website Turnpike quantifying
5;frame Networked;programming back-end Bike;71201;11294;82597;Handmade;platforms
6;out-of-the-box Extension calculate;e-commerce Louisiana;73806;84144;80619;parsing Proactive;Soft
7;Incredible open architecture Movies;Mouse SMTP Vision-oriented;83704;7267;27927;withdrawal;XML orange sticky
8;Shoes;systems;75924;93830;90360;Right-sized neural Handcrafted Fresh Ball;Human UAE Dirham
9;Computer deploy;Flats AI;54664;12884;38040;Assistant Sleek;Books mindshare
10;Principal;Fresh;70768;29221;97277;synthesizing Trinidad and Tobago Dollar backing up;Communications hard drive migration
